Focal.ID,KMP.ID,Litter.Code,Treatment.4way,DF.Treatment,Rank,Age,Preg.stage,Location,AM.PM,Total.Monthly.Rainfall,Group.Size,Focal.Length.Hour,Olfactory,HIA.I.All,HIA.R.All,Fcomp.I,Fcomp.R,Sub.I.All,Sub.R.All,Prosocial.I,Prosocial.R
4.1.AB08,AB,ZA,Subordinate,Control,S,1.1,MP,Forage,PM,1.6,7,0.066666667,0,0,0,0,0,0,0,0,0
4.1.AB09,AB,ZA,Subordinate,Control,S,1.1,MP,Forage,PM,1.6,7,0.189444444,1,0,0,0,0,0,0,0,0
4.1.AB10,AB,ZA,Subordinate,Control,S,1.1,MP,Forage,PM,1.6,7,0.255833333,0,0,0,0,0,0,0,0,0
4.1.AB11,AB,ZA,Subordinate,Control,S,1.1,MP,Forage,AM,1.6,7,0.317222222,1,0,0,0,0,1,0,0,0
4.1.AB12,AB,ZA,Subordinate,Control,S,1.1,MP,Forage,AM,1.6,7,0.349444444,0,0,0,0,0,1,0,0,1
4.1.AB13,AB,ZA,Subordinate,Control,S,1.1,MP,Forage,PM,1.6,7,0.230833333,1,0,0,0,0,0,0,0,0
4.1.AB14,AB,ZA,Subordinate,Control,S,1.1,MP,Forage,PM,1.6,7,0.241944444,0,0,0,0,0,1,0,0,0
4.1.AB15,AB,ZA,Subordinate,Control,S,1.1,MP,Forage,PM,1.6,7,0.275555556,0,0,0,0,0,0,0,0,0
4.1.AB16,AB,ZA,Subordinate,Control,S,1.2,MP,Forage,AM,1.6,7,0.339444444,0,0,0,0,0,2,0,0,0
4.1.AB17,AB,ZA,Subordinate,Control,S,1.2,MP,Forage,AM,1.6,7,0.336111111,0,0,0,0,0,0,0,0,0
4.1.AB18,AB,ZA,Subordinate,Control,S,1.2,LP,Forage,PM,1.4,7,0.286944444,0,2,0,0,0,0,0,0,0
4.1.AB19,AB,ZA,Subordinate,Control,S,1.2,LP,Forage,AM,0,7,0.344444444,0,0,0,0,0,2,0,0,0
4.1.AB20,AB,ZA,Subordinate,Control,S,1.2,LP,Forage,AM,0,7,0.338333333,0,0,0,0,0,0,0,0,0
4.1.AB21,AB,ZA,Subordinate,Control,S,1.2,LP,Forage,AM,0,7,0.349166667,0,0,0,0,0,2,0,1,0
4.1.AB22,AB,ZA,Subordinate,Control,S,1.2,LP,Burrow,AM,0.4,6,0.084444444,0,0,3,0,0,0,0,0,1
4.1.AB23,AB,ZA,Subordinate,Control,S,1.2,LP,Forage,AM,0.4,6,0.330277778,0,1,1,0,0,0,0,0,0
4.1.AB24,AB,ZA,Subordinate,Control,S,1.2,LP,Forage,AM,0.4,6,0.321111111,0,0,0,0,0,0,0,0,0
4.1.AB25,AB,ZA,Subordinate,Control,S,1.2,LP,Forage,PM,0.4,7,0.250555556,1,0,0,0,0,0,0,0,0
4.1.AB26,AB,ZA,Subordinate,Control,S,1.2,LP,Forage,PM,0.4,7,0.256388889,0,0,0,0,0,0,0,0,0
4.1.AB27,AB,ZA,Subordinate,Control,S,1.2,LP,Forage,PM,0.4,7,0.255277778,0,0,0,0,0,0,0,0,0
4.1.AB28,AB,ZA,Subordinate,Control,S,1.2,LP,Forage,PM,5,7,0.243333333,0,0,0,0,0,0,0,0,0
4.1.AB29,AB,ZA,Subordinate,Control,S,1.2,LP,Forage,AM,5,7,0.338333333,1,0,0,0,0,0,0,0,0
4.1.AB30,AB,ZA,Subordinate,Control,S,1.2,LP,Forage,PM,6.4,7,0.256666667,2,0,0,0,0,0,0,0,0
3.1.AM14,AM,HA,Control,Control,D,2.7,PP,Forage,AM,0,10,0.323611111,0,0,0,0,0,0,0,0,0
3.1.AM15,AM,HA,Control,Control,D,2.7,PP,Forage,AM,0,10,0.371666667,0,0,0,0,0,0,0,0,0
3.1.AM16,AM,HA,Control,Control,D,2.7,PP,Forage,AM,0,10,0.323888889,0,0,0,0,0,0,0,0,0
3.1.AM17,AM,HA,Control,Control,D,2.7,PP,Forage,PM,0,7,0.25,0,0,0,0,0,0,0,0,0
3.1.AM18,AM,HA,Control,Control,D,2.7,PP,Forage,PM,0,8,0.355833333,1,3,4,0,3,0,0,0,1
3.1.AM19,AM,HA,Control,Control,D,2.7,PP,Forage,AM,0,10,0.328888889,0,1,1,1,0,0,0,0,0
3.1.AM20,AM,HA,Control,Control,D,2.7,PP,Forage,AM,0,8,0.329444444,0,0,0,0,0,0,0,1,0
3.1.AM21,AM,HA,Control,Control,D,2.7,PP,Forage,AM,0,8,0.325,0,0,0,0,0,0,0,0,0
3.1.AM22,AM,HA,Control,Control,D,2.7,PP,Forage,AM,0,8,0.329166667,0,0,0,0,0,0,0,0,0
3.1.AM01,AM,HA,Subordinate,Control,S,2.6,LP,Forage,AM,0,13,0.341944444,0,1,2,0,1,0,0,1,0
3.1.AM02,AM,HA,Subordinate,Control,S,2.6,LP,Forage,PM,0,13,0.244722222,0,1,0,1,0,0,0,0,0
3.1.AM03,AM,HA,Subordinate,Control,S,2.6,LP,Forage,PM,0,13,0.251111111,0,0,0,0,0,0,0,0,0
3.1.AM04,AM,HA,Subordinate,Control,S,2.6,LP,Forage,PM,0,13,0.2475,1,0,0,0,0,0,0,0,0
