Sample No,KMP.ID,Preg.Treatment,Age.months,Preg.Stage,Litter,Total.monthly.Rainfall,AM.PM,ng.g.feces
1,EA,Control,83,MP,QB,0.4,AM,138.2
2,EA,Control,83.1,MP,QB,0.4,PM,88.925
3,EA,Control,83.2,MP,QB,0.4,PM,150.2
4,PB,Control,76.7,MP,SB,26.400011,AM,229.2
5,GB,Subordinate,24.9,LP,JA,26.000011,PM,74.375
6,FA,Control,49.5,LP,GA,87.60004,PM,133.4
7,NA,Control,16.3,LP,RA,86.60004,AM,227
8,NA,Control,16.3,LP,RA,86.60004,PM,220.4
9,NA,Control,16.4,LP,RA,86.60004,PM,224
10,NA,Control,16.4,LP,RA,86.60004,AM,45.45
11,IB,Control,86.4,LP,HA,65.60003,PM,201.95
12,GB,Subordinate,25.6,LP,JA,65.40003,AM,166
13,NA,Control,16.5,PP,RA,66.60003,AM,91.867
14,QA,Control,39.6,MP,VA,66.60003,AM,111.1
15,IB,Control,86.6,LP,HA,66.60003,PM,312.3
16,FA,Control,49.9,LP,GA,68.20003,AM,103.167
17,FA,Control,49.9,LP,GA,68.20003,PM,132.45
18,GB,Subordinate,25.8,PP,JA,68.20003,PM,44.275
19,EA,Control,84.8,PP,QB,68.20003,AM,100.4
20,NA,Control,16.7,PP,RA,68.20003,AM,104.1
21,IB,Control,86.7,PP,HA,68.20003,PM,90.4
22,NA,Control,16.8,PP,RA,68.20003,PM,98.3
23,IB,Control,86.8,PP,HA,89.80002,PM,67.925
24,GB,Subordinate,25.9,PP,JA,78.40003,PM,126.35
25,IB,Control,86.9,PP,HA,90.40002,PM,85.967
26,EB,Control,65.7,MP,DB,73.20003,PM,65.05
27,IB,Control,86.9,PP,HA,73.20003,AM,56.567
28,EB,Control,65.7,LP,DB,24.99999,AM,443.1
29,FA,Control,50.3,PP,GA,53.40003,PM,180.8
30,FA,Control,50.4,PP,GA,24.99999,PM,232.05
31,PB,Control,78.3,PP,SB,24.99999,PM,80.75
32,FA,Control,50.5,PP,GA,51.799987,AM,171.133
33,QA,Control,40.7,LP,VA,68.199985,AM,78.9
34,QA,Control,40.7,LP,VA,68.199985,PM,363
35,QA,Control,40.8,LP,VA,69.999983,AM,175.9
36,QA,Control,40.8,LP,VA,69.999983,AM,61.75
37,QB,Subordinate,27.2,LP,VB,69.999983,PM,139.3
38,OB,Control,97.7,LP,AB,59.999993,AM,224.4
39,EB,Control,65.9,LP,DB,51.799987,AM,142.9
40,BA,Subordinate,15.8,LP,BA,20.399998,AM,264.9
41,OB,Control,98.2,PP,AB,20.399998,AM,269.9
42,RA,Subordinate,14.1,PP,WA,20.399998,PM,295.95
43,RA,Subordinate,14.2,PP,WA,20.399998,AM,86.067
44,RA,Subordinate,14.2,PP,WA,9.800001,AM,61.25
45,BA,Subordinate,15.9,LP,BA,9.400001,PM,117.867
46,BA,Subordinate,16.1,PP,BA,6.2,AM,43.5
47,EB,Control,74.5,LP,EA,11.799995,AM,227.25
48,EB,Control,74.5,LP,EA,11.799995,AM,142.8
49,EB,Control,74.6,LP,EA,11.799995,AM,227.675
50,EB,Control,74.7,LP,EA,9.999995,PM,127.225
51,EB,Control,74.7,LP,EA,9.999995,PM,167.5
52,EB,Control,74.9,PP,EA,9.999995,PM,174.433
53,PB,Control,87.4,LP,TA,9.999995,AM,81.8
54,EB,Control,75,PP,EA,9.999995,AM,62.4
55,PB,Control,87.5,LP,TA,9.999995,PM,209.4
56,EB,Control,75.2,PP,EA,11.199995,AM,273.8
57,MB,Control,38.1,LP,RB,11.199995,AM,149.3
58,PB,Control,87.6,LP,TA,11.199995,PM,66.233
59,EB,Control,75.3,PP,EA,11.199995,AM,34.95
60,PB,Control,87.8,LP,TA,12.199995,AM,164.4
61,EB,Control,75.2,PP,EA,11.199995,PM,245.633
62,MB,Control,38.4,LP,RB,12.199995,PM,239.75
63,MB,Control,38.5,LP,RB,2.2,AM,107.433
64,MB,Control,38.8,LP,RB,2.2,PM,67.967
65,PB,Control,88.4,PP,TA,2.2,AM,48.2
66,MB,Control,38.9,PP,RB,2.2,AM,402.867
67,QB,Control,36.9,LP,BC,9.000001,AM,129.167
