,kmp.id.nospace,mom.id,litter,sex,X3.way,age.months.cont,group.size,location1,am.pm,obs.time.hr,i.aggr.all,Total.monthly.rainfall
1,A,AAA,AAAA,F,Subordinate control,1.2,30,forage,am,0.345,0,9.6
2,B,AAA,AAAA,M,Subordinate control,1.2,30,forage,am,0.34306,2,9.6
3,C,AAA,AAAA,M,Subordinate control,1.2,30,burrow,am,0.04139,0,9.6
4,D,AAA,AAAA,M,Subordinate control,1.2,30,forage,am,0.35361,1,9.6
5,E,AAB,AAAB,F,Dominant control,1,37,burrow,pm,0.105,0,17.599998
6,F,AAB,AAAB,F,Dominant control,1.1,37,burrow,am,0.08972,0,20.399998
7,G,AAB,AAAB,F,Dominant control,1.1,37,burrow,am,0.02778,0,20.399998
8,H,F,AAAC,F,Subordinate control,0.9,13,burrow,pm,0.08944,0,0
9,I,AAC,AAAD,F,Dominant control,1,17,burrow,am,0.08806,0,41.600022
10,J,AAB,AAAB,M,Dominant control,1,37,burrow,pm,0.08167,0,17.599998
11,K,AAB,AAAB,M,Dominant control,1,37,burrow,pm,0.12139,0,17.599998
12,L,F,AAAC,M,Subordinate control,0.9,13,burrow,pm,0.14361,0,0
13,M,AAC,AAAD,M,Dominant control,0.9,17,burrow,am,0.09167,0,41.600022
14,N,AAC,AAAE,M,Dominant treated,1,21,forage,pm,0.2425,4,82.600118
15,O,AAC,AAAE,M,Dominant treated,1,21,forage,am,0.2825,1,78.000117
16,P,AAC,AAAE,M,Dominant treated,1,21,forage,pm,0.10389,0,82.600118
17,Q,F,AAAC,M,Subordinate control,0.9,13,burrow,pm,0.10222,0,0
18,R,AAC,AAAD,M,Dominant control,0.9,17,burrow,am,0.09472,0,41.600022
19,S,AAC,AAAD,M,Dominant control,1.1,17,burrow,pm,0.04861,0,41.600022
20,T,AAC,AAAE,M,Dominant treated,1,21,forage,pm,0.25417,1,82.600118
21,U,AAD,AAAF,M,Dominant control,1,9,forage,pm,0.25778,10,7.6
22,V,AAD,AAAF,M,Dominant control,1,9,forage,pm,0.24944,15,7.6
23,W,AAD,AAAF,unk,Dominant control,1,9,forage,pm,0.20556,3,7.6
24,X,AAD,AAAF,F,Dominant control,1,9,forage,pm,0.26083,13,7.6
25,Y,AAE,AAAG,F,Dominant treated,1,15,burrow,am,0.22972,0,20.399998
26,Z,AAE,AAAG,F,Dominant treated,1,15,burrow,am,0.07528,0,20.399998
27,AA,AAE,AAAH,F,Dominant control,1,17,forage,am,0.36361,10,2.2
28,AB,AAE,AAAG,M,Dominant treated,1,15,forage,am,0.17972,0,20.399998
29,AC,AAE,AAAH,M,Dominant control,1,17,forage,am,0.26194,2,2.2
30,AD,AAF,AAAI,F,Dominant treated,1,12,forage,am,0.31111,0,44.79999
31,AE,AAF,AAAI,M,Dominant treated,1,12,forage,am,0.39528,1,44.79999
32,AF,AAF,AAAJ,F,Dominant control,1,13,burrow,am,0.08528,0,6
33,AG,AAF,AAAJ,F,Dominant control,1,13,burrow,am,0.0925,0,6
34,AH,AAF,AAAJ,F,Dominant control,1,13,burrow,am,0.09667,0,6
35,AI,AAF,AAAI,F,Dominant treated,1,12,forage,am,0.32028,0,44.79999
36,AJ,AAG,AAAK,F,Dominant control,1,16,burrow,am,0.10944,0,58.799993
37,AK,AAG,AAAK,M,Dominant control,1,16,burrow,am,0.07833,0,58.799993
38,AL,AAG,AAAK,M,Dominant control,1,16,burrow,am,0.12222,0,58.799993
39,AM,AAG,AAAK,M,Dominant control,1,16,burrow,am,0.13806,0,58.799993
40,AN,AAH,AAAL,F,Dominant control,0.9,23,forage,pm,0.21889,0,67.199985
41,AO,AAH,AAAL,F,Dominant control,0.9,23,burrow,pm,0.09389,0,67.199985
42,AP,AAH,AAAL,M,Dominant control,0.9,23,burrow,pm,0.16139,0,67.199985
43,AQ,AAH,AAAL,M,Dominant control,0.9,23,burrow,pm,0.11972,0,67.199985
44,AR,AAI,AAAM,F,Dominant treated,0.9,34,burrow,am,0.10278,0,73.20003
45,AS,AAI,AAAM,F,Dominant treated,0.9,34,burrow,pm,0.01944,0,73.20003
46,AT,AAJ,AAAN,F,Subordinate control,1.5,39,burrow,am,0.075,0,59.999993
