Sample_no,ID,Rank,Age.months,Preg.stage,Littercode,Total.monthly.Rainfall,A4.ng.ml,T.ng.ml
1,FA,D,97.1,LP,HA,26.000011,23.736,4.816
2,EA,D,65.1,LP,FB,57.399988,28.616,10.6296
3,JA,D,82.9,LP,NB,57.399988,52.904,21.9072
4,PA,D,40.3,LP,WA,60.599993,35.382,9.294
5,EA,D,73.6,LP,GA,9.999995,29.088,7.104
6,NA,D,37.9,LP,SB,12.199995,29.872,2.388
7,LA,D,49.6,EP,PB,9.000001,50.676,11.064
8,IB,D,97.6,LP,NA,9,19.59,1.956
9,LA,D,50.7,MP,PB,9,26.704,13.488
10,NA,D,40.4,LP,TA,6.4,27.532,2.158
11,CB,S,18.8,LP,DB,0,8.392,1.684
12,AB,S,43.2,LP,AB,0,2.493,3.368
13,BA,S,18.9,LP,BA,0,1.26,1.306
14,QB,S,19.3,LP,XB,0,27.148,8.42
15,HB,D,69,LP,KA,0,16.492,1.744
16,LB,D,33.2,EP,QB,0,8.7,7.62
17,BB,D,33.9,LP,BB,5,25.784,13.292
18,OA,D,38.5,MP,UB,6,18.396,16.539
19,LB,D,34.5,LP,QA,6,47.736,31.602
20,AA,D,47.7,MP,AA,6,10.624,20.79
21,IA,S,22.8,MP,LB,6,1.488,0.612
22,EB,S,34.5,EP,GB,6.6,6.638,11.156
23,NA,D,51.3,EP,TB,35.000022,8.168,0.6912
24,MA,S,15.3,LP,RA,34.000022,2.28,5.24
25,FB,S,37.6,MP,HB,42.000022,1.056,1.612
26,HB,D,71.5,LP,KB,42.000022,15.548,2.106
27,PB,D,49.5,EP,WB,41.800022,18.56,11.3
28,GA,S,24.1,MP,IA,41.600022,1.5,3.104
29,BB,D,36.7,LP,CA,37.99999,61.32,31.24
30,KB,D,9,LP,PA,0,14.408,24.5808
31,MA,S,24,EP,RB,1.6,2.376,na
32,HA,D,23.7,EP,JB,1.6,11.324,0.612
33,MB,S,12,EP,SA,1.6,2.612,8.425
34,OA,D,48.7,LP,VA,1.6,31.304,20.652
35,GB,S,24.4,MP,IB,1.6,4.16,6.052
36,CB,S,32.5,LP,DA,0.4,6.872,3.902
37,QA,S,31.5,MP,XA,0.4,2.932,9.196
38,MA,S,25.2,MP,RB,0.4,1.152,5.608
39,KA,S,42.4,EP,OB,14.799998,1.596,0.5928
40,CA,S,39.1,MP,CB,13.799997,na,5.454
41,OB,S,12,LP,VB,3.2,0.726,0.21
42,CB,S,35.1,LP,EA,4.4,30.724,10.97
43,NB,D,18,MP,UA,4.6,5.856,9.324
44,DA,S,15.9,EP,EB,4.6,5.768,0.022
45,JB,D,71.9,MP,OA,4.6,14.8,1.18
46,HB,D,84.1,MP,LA,6.2,17.608,1.7325
47,GB,S,28,MP,JA,19.2,5.064,4.776
48,DB,S,14.9,LP,FA,19.199997,0.526,0.248
